image_id,angle,speed,red_light,obj_ahead,left_arrow,right_arrow
1741867139876_90_35,0.5,1.0,0.0,0.0,1.0,0.0
1741867140913_90_35,0.5,1.0,0.0,0.0,1.0,0.0
1741867141980_85_35,0.4375,1.0,0.0,0.0,1.0,0.0
1741867143045_90_35,0.5,1.0,0.0,0.0,1.0,0.0
1741867144081_95_35,0.5625,1.0,0.0,0.0,1.0,0.0
1741867145149_85_35,0.4375,1.0,0.0,0.0,1.0,0.0
1741867146213_60_35,0.125,1.0,0.0,0.0,1.0,0.0
1741867147249_65_35,0.1875,1.0,0.0,0.0,1.0,0.0
1741867148282_60_35,0.125,1.0,0.0,0.0,0.0,0.0
1741867149349_65_35,0.1875,1.0,0.0,0.0,0.0,0.0
1741867228964_85_35,0.4375,1.0,0.0,0.0,0.0,0.0
1741867230032_100_35,0.625,1.0,0.0,0.0,0.0,0.0
1741867231101_85_35,0.4375,1.0,0.0,0.0,1.0,0.0
1741867232168_95_35,0.5625,1.0,0.0,0.0,1.0,0.0
1741867233200_90_35,0.5,1.0,0.0,0.0,1.0,0.0
1741867234237_90_35,0.5,1.0,0.0,0.0,1.0,0.0
1741867235300_75_35,0.3125,1.0,0.0,0.0,1.0,0.0
1741867236337_55_35,0.0625,1.0,0.0,0.0,1.0,0.0
1741867237369_50_35,0.0,1.0,0.0,0.0,0.0,0.0
1741867238437_50_35,0.0,1.0,0.0,0.0,0.0,0.0
1741867249479_90_35,0.5,1.0,0.0,0.0,0.0,0.0
1741867250542_90_35,0.5,1.0,0.0,0.0,1.0,0.0
1741867251611_90_35,0.5,1.0,0.0,0.0,1.0,0.0
1741867252647_90_35,0.5,1.0,0.0,0.0,1.0,0.0
1741867253681_95_35,0.5625,1.0,0.0,0.0,1.0,0.0
1741867254760_85_35,0.4375,1.0,0.0,0.0,1.0,0.0
1741867255815_90_35,0.5,1.0,0.0,0.0,1.0,0.0
1741867256849_50_35,0.0,1.0,0.0,0.0,1.0,0.0
1741867257883_55_35,0.0625,1.0,0.0,0.0,1.0,0.0
1741867258916_55_35,0.0625,1.0,0.0,0.0,0.0,0.0
1741867269021_90_35,0.5,1.0,0.0,0.0,0.0,0.0
1741867270057_90_35,0.5,1.0,0.0,0.0,0.0,0.0
1741867271089_90_35,0.5,1.0,0.0,0.0,1.0,0.0
1741867272125_90_35,0.5,1.0,0.0,0.0,1.0,0.0
1741867273162_95_35,0.5625,1.0,0.0,0.0,1.0,0.0
1741867274225_90_35,0.5,1.0,0.0,0.0,1.0,0.0
1741867275293_80_35,0.375,1.0,0.0,0.0,1.0,0.0
1741867276358_50_35,0.0,1.0,0.0,0.0,1.0,0.0
1741867277398_60_35,0.125,1.0,0.0,0.0,0.0,0.0
1741867278462_65_35,0.1875,1.0,0.0,0.0,0.0,0.0
1741867287967_90_35,0.5,1.0,0.0,0.0,0.0,0.0
