image_id,angle,speed,red_light,obj_ahead,left_arrow,right_arrow
1742566665142_90_0,0.5,1,0,0,1,0
1742566665532_90_0,0.5,1,0,0,1,0
1742566665871_90_0,0.5,1,0,0,1,0
1742566666233_90_0,0.5,1,0,0,1,0
1742566666607_90_0,0.5,1,0,0,1,0
1742566666968_90_0,0.5,1,0,0,1,0
1742566667336_90_0,0.5,1,0,0,1,0
1742566667700_90_0,0.5,1,0,0,1,0
1742566668068_90_0,0.5,1,0,0,1,0
1742566668400_90_0,0.5,1,0,0,1,0
1742566668736_90_0,0.5,1,0,0,1,0
1742566669100_90_0,0.5,1,0,0,1,0
1742566669468_90_0,0.5,1,0,0,1,0
1742566669836_90_0,0.5,1,0,0,1,0
1742566670205_90_0,0.5,1,0,0,1,0
1742566670569_90_0,0.5,1,0,0,1,0
1742566670936_90_0,0.5,1,0,0,1,0
1742566671304_90_0,0.5,1,0,0,1,0
1742566671637_90_0,0.5,1,0,0,1,0
1742566671970_90_0,0.5,1,0,0,1,0
1742566672336_90_0,0.5,1,0,0,1,0
1742566672672_90_0,0.5,1,0,0,1,0
1742566673037_90_0,0.5,1,0,0,1,0
1742566673372_90_0,0.5,1,0,0,1,0
1742566673705_90_0,0.5,1,0,0,1,0
1742566674073_90_0,0.5,1,0,0,1,0
1742566674437_90_0,0.5,1,0,0,1,0
1742566674774_90_0,0.5,1,0,0,1,0
1742566675147_90_0,0.5,1,0,0,1,0
1742566675505_90_0,0.5,1,0,0,1,0
1742566675841_90_0,0.5,1,0,0,1,0
1742566676205_90_0,0.5,1,0,0,1,0
1742566676541_90_0,0.5,1,0,0,1,0
1742566676905_90_0,0.5,1,0,0,1,0
1742566677242_90_0,0.5,1,0,0,1,0
1742566677605_90_0,0.5,1,0,0,1,0
1742566677942_90_0,0.5,1,0,0,1,0
1742566678309_90_0,0.5,1,0,0,1,0
1742566678674_90_0,0.5,1,0,0,1,0
1742566679041_90_0,0.5,1,0,0,1,0
1742566679414_90_0,0.5,1,0,0,1,0
1742566679774_90_0,0.5,1,0,0,1,0
1742566686247_90_0,0.5,1,0,0,1,0
1742566686626_90_0,0.5,1,0,0,1,0
1742566686978_90_0,0.5,1,0,0,1,0
1742566687314_90_0,0.5,1,0,0,1,0
1742566687646_90_0,0.5,1,0,0,1,0
1742566687978_90_0,0.5,1,0,0,1,0
1742566688348_90_0,0.5,1,0,0,1,0
1742566688714_90_0,0.5,1,0,0,1,0
1742566689078_90_0,0.5,1,0,0,1,0
1742566689446_90_0,0.5,1,0,0,1,0
1742566689817_90_0,0.5,1,0,0,1,0
1742566690183_90_0,0.5,1,0,0,1,0
1742566690547_90_0,0.5,1,0,0,1,0
1742566690915_90_0,0.5,1,0,0,1,0
1742566691283_90_0,0.5,1,0,0,1,0
1742566691647_90_0,0.5,1,0,0,1,0
1742566692015_90_0,0.5,1,0,0,1,0
1742566692351_90_0,0.5,1,0,0,1,0
1742566692717_90_0,0.5,1,0,0,1,0
1742566693060_90_0,0.5,1,0,0,1,0
1742566693415_90_0,0.5,1,0,0,1,0
1742566693751_90_0,0.5,1,0,0,1,0
1742566694115_90_0,0.5,1,0,0,1,0
1742566694451_90_0,0.5,1,0,0,1,0
1742566694820_90_0,0.5,1,0,0,1,0
1742566695183_90_0,0.5,1,0,0,1,0
1742566695551_90_0,0.5,1,0,0,1,0
1742566695919_90_0,0.5,1,0,0,1,0
1742566696283_90_0,0.5,1,0,0,1,0
1742566696651_90_0,0.5,1,0,0,1,0
1742566697019_90_0,0.5,1,0,0,1,0
