image_id,angle,speed,red_light,obj_ahead,left_arrow,right_arrow
1742566191852_90_0,0.5,1,0,0,0,1
1742566192278_90_0,0.5,1,0,0,0,1
1742566192682_90_0,0.5,1,0,0,0,1
1742566193110_90_0,0.5,1,0,0,0,1
1742566193514_90_0,0.5,1,0,0,0,1
1742566193948_90_0,0.5,1,0,0,0,1
1742566194378_90_0,0.5,1,0,0,0,1
1742566194782_90_0,0.5,1,0,0,0,1
1742566195211_90_0,0.5,1,0,0,0,1
1742566195647_90_0,0.5,1,0,0,0,1
1742566196046_90_0,0.5,1,0,0,0,1
1742566196446_90_0,0.5,1,0,0,0,1
1742566196846_90_0,0.5,1,0,0,0,1
1742566197246_90_0,0.5,1,0,0,0,1
1742566197647_90_0,0.5,1,0,0,0,1
1742566198050_90_0,0.5,1,0,0,0,1
1742566198447_90_0,0.5,1,0,0,0,1
1742566198848_90_0,0.5,1,0,0,0,1
1742566199247_90_0,0.5,1,0,0,0,1
1742566199685_90_0,0.5,1,0,0,0,1
1742566200115_90_0,0.5,1,0,0,0,1
1742566200515_90_0,0.5,1,0,0,0,1
1742566200915_90_0,0.5,1,0,0,0,1
1742566201320_90_0,0.5,1,0,0,0,1
1742566201751_90_0,0.5,1,0,0,0,1
1742566202151_90_0,0.5,1,0,0,0,1
1742566202551_90_0,0.5,1,0,0,0,1
1742566202951_90_0,0.5,1,0,0,0,1
1742566203351_90_0,0.5,1,0,0,0,1
1742566203751_90_0,0.5,1,0,0,0,1
1742566204153_90_0,0.5,1,0,0,0,1
1742566204551_90_0,0.5,1,0,0,0,1
1742566204951_90_0,0.5,1,0,0,0,1
1742566205352_90_0,0.5,1,0,0,0,1
1742566205753_90_0,0.5,1,0,0,0,1
1742566206184_90_0,0.5,1,0,0,0,1
1742566206584_90_0,0.5,1,0,0,0,1
1742566207020_90_0,0.5,1,0,0,0,1
1742566207420_90_0,0.5,1,0,0,0,1
1742566207820_90_0,0.5,1,0,0,0,1
1742566208220_90_0,0.5,1,0,0,0,1
1742566208620_90_0,0.5,1,0,0,0,1
1742566209020_90_0,0.5,1,0,0,0,1
1742566209420_90_0,0.5,1,0,0,0,1
1742566209820_90_0,0.5,1,0,0,0,1
1742566210220_90_0,0.5,1,0,0,0,1
1742566210620_90_0,0.5,1,0,0,0,1
1742566211020_90_0,0.5,1,0,0,0,1
1742566211420_90_0,0.5,1,0,0,0,1
1742566211820_90_0,0.5,1,0,0,0,1
1742566212225_90_0,0.5,1,0,0,0,1
1742566212656_90_0,0.5,1,0,0,0,1
1742566217559_90_0,0.5,1,0,0,0,1
1742566217955_90_0,0.5,1,0,0,0,1
1742566218427_90_0,0.5,1,0,0,0,1
1742566218826_90_0,0.5,1,0,0,0,1
1742566219225_90_0,0.5,1,0,0,0,1
