image_id,angle,speed,red_light,obj_ahead,left_arrow,right_arrow
1741809375879_90_35,0.5,1,0,0,0,0
1741809376915_90_35,0.5,1,0,0,0,0
1741809377983_95_35,0.5625,1,0,0,0,0
1741809379015_95_35,0.5625,1,0,0,0,0
1741809380047_110_35,0.75,1,0,0,0,0
1741809381084_110_35,0.75,1,0,0,0,0
1741809382116_110_35,0.75,1,0,0,0,0
1741809383152_105_35,0.6875,1,0,0,0,0
1741809384193_110_35,0.75,1,0,0,0,0
1741809385252_105_35,0.6875,1,0,0,0,0
1741809386288_105_35,0.6875,1,0,0,0,0
1741809387321_105_35,0.6875,1,0,0,0,0
1741809388388_115_35,0.8125,1,0,0,0,0
1741809389421_110_35,0.75,1,0,0,0,0
1741809390489_110_35,0.75,1,0,0,0,0
1741809391557_105_35,0.6875,1,0,0,0,0
1741809392589_110_35,0.75,1,0,0,0,0
1741809393625_105_35,0.6875,1,0,0,0,0
1741809394657_100_35,0.625,1,0,0,0,0
1741809395694_110_35,0.75,1,0,0,0,0
1741809396757_110_35,0.75,1,0,0,0,0
1741809397795_105_35,0.6875,1,0,0,0,0
1741809398862_90_35,0.5,1,0,0,0,0
1741809399926_85_35,0.4375,1,0,0,0,0
1741809400962_90_35,0.5,1,0,0,0,0
1741809402031_90_35,0.5,1,0,0,0,0
1741809403099_90_35,0.5,1,0,0,0,0
1741809404163_95_35,0.5625,1,0,0,0,0
1741809405199_90_35,0.5,1,0,0,0,0
1741809406267_65_35,0.1875,1,0,0,0,0
1741809407331_65_35,0.1875,1,0,0,0,0
1741809408367_65_35,0.1875,1,0,0,0,0
1741809409399_65_35,0.1875,1,0,0,0,0
1741809410467_70_35,0.25,1,0,0,0,0
1741809411503_70_35,0.25,1,0,0,0,0
1741809412568_70_35,0.25,1,0,0,0,0
1741809413636_65_35,0.1875,1,0,0,0,0
1741809414672_60_35,0.125,1,0,0,0,0
1741809415736_65_35,0.1875,1,0,0,0,0
1741809416773_65_35,0.1875,1,0,0,0,0
1741809417841_60_35,0.125,1,0,0,0,0
1741809418905_60_35,0.125,1,0,0,0,0
1741809419941_70_35,0.25,1,0,0,0,0
1741809421009_80_35,0.375,1,0,0,0,0
1741809422073_90_35,0.5,1,0,0,0,0
1741809423109_90_35,0.5,1,0,0,0,0
1741809424183_90_35,0.5,1,0,0,0,0
1741809425243_90_35,0.5,1,0,0,0,0
1741809426277_90_35,0.5,1,0,0,0,0
1741809427317_95_35,0.5625,1,0,0,0,0
1741809428379_95_35,0.5625,1,0,0,0,0
1741809429414_100_35,0.625,1,0,0,0,0
1741809430446_110_35,0.75,1,0,0,0,0
1741809431515_105_35,0.6875,1,0,0,0,0
1741809432546_105_35,0.6875,1,0,0,0,0
1741809433582_100_35,0.625,1,0,0,0,0
1741809434651_105_35,0.6875,1,0,0,0,0
1741809435715_105_35,0.6875,1,0,0,0,0
1741809436751_110_35,0.75,1,0,0,0,0
1741809437783_110_35,0.75,1,0,0,0,0
1741809438851_110_35,0.75,1,0,0,0,0
1741809439887_110_35,0.75,1,0,0,0,0
1741809440920_100_35,0.625,1,0,0,0,0
1741809441988_105_35,0.6875,1,0,0,0,0
1741809443056_105_35,0.6875,1,0,0,0,0
1741809444120_105_35,0.6875,1,0,0,0,0
1741809445156_105_35,0.6875,1,0,0,0,0
1741809446224_105_35,0.6875,1,0,0,0,0
1741809447288_105_35,0.6875,1,0,0,0,0
1741809448330_100_35,0.625,1,0,0,0,0
1741809449393_100_35,0.625,1,0,0,0,0
1741809450457_90_35,0.5,1,0,0,0,0
1741809451493_85_35,0.4375,1,0,0,0,0
1741809452563_85_35,0.4375,1,0,0,0,0
1741809453625_90_35,0.5,1,0,0,0,0
1741809454661_100_35,0.625,1,0,0,0,0
1741809455730_85_35,0.4375,1,0,0,0,0
1741809456794_75_35,0.3125,1,0,0,0,0
1741809457862_60_35,0.125,1,0,0,0,0
1741809458898_75_35,0.3125,1,0,0,0,0
1741809459966_65_35,0.1875,1,0,0,0,0
1741809461030_70_35,0.25,1,0,0,0,0
1741809462066_65_35,0.1875,1,0,0,0,0
1741809463135_65_35,0.1875,1,0,0,0,0
1741809464199_65_35,0.1875,1,0,0,0,0
1741809465267_60_35,0.125,1,0,0,0,0
1741809466303_60_35,0.125,1,0,0,0,0
1741809467367_65_35,0.1875,1,0,0,0,0
1741809468435_65_35,0.1875,1,0,0,0,0
1741809469471_65_35,0.1875,1,0,0,0,0
1741809470536_60_35,0.125,1,0,0,0,0
1741809471603_70_35,0.25,1,0,0,0,0
1741809472672_80_35,0.375,1,0,0,0,0
1741809473740_90_35,0.5,1,0,0,0,0
1741809474808_95_35,0.5625,1,0,0,0,0
1741809475872_90_35,0.5,1,0,0,0,0
1741809476941_95_35,0.5625,1,0,0,0,0
1741809477992_95_35,0.5625,1,0,0,0,0
1741809479041_90_35,0.5,1,0,0,0,0
1741809480078_95_35,0.5625,1,0,0,0,0
1741809481145_105_35,0.6875,1,0,0,0,0
1741809482209_115_35,0.8125,1,0,0,0,0
1741809483245_110_35,0.75,1,0,0,0,0
1741809484281_105_35,0.6875,1,0,0,0,0
1741809485345_95_35,0.5625,1,0,0,0,0
1741809486382_105_35,0.6875,1,0,0,0,0
1741809487446_110_35,0.75,1,0,0,0,0
1741809488482_105_35,0.6875,1,0,0,0,0
1741809489550_100_35,0.625,1,0,0,0,0
1741809490614_115_35,0.8125,1,0,0,0,0
1741809491650_105_35,0.6875,1,0,0,0,0
1741809492718_115_35,0.8125,1,0,0,0,0
1741809493783_110_35,0.75,1,0,0,0,0
1741809494918_100_35,0.625,1,0,0,0,0
1741809495987_110_35,0.75,1,0,0,0,0
1741809497055_100_35,0.625,1,0,0,0,0
1741809498119_105_35,0.6875,1,0,0,0,0
1741809499187_95_35,0.5625,1,0,0,0,0
1741809500227_95_35,0.5625,1,0,0,0,0
1741809501288_95_35,0.5625,1,0,0,0,0
1741809502356_85_35,0.4375,1,0,0,0,0
1741809503424_90_35,0.5,1,0,0,0,0
1741809504492_90_35,0.5,1,0,0,0,0
1741809505564_85_35,0.4375,1,0,0,0,0
1741809506624_85_35,0.4375,1,0,0,0,0
1741809507695_75_35,0.3125,1,0,0,0,0
1741809508761_65_35,0.1875,1,0,0,0,0
1741809509829_65_35,0.1875,1,0,0,0,0
1741809510897_65_35,0.1875,1,0,0,0,0
1741809511962_60_35,0.125,1,0,0,0,0
1741809512998_60_35,0.125,1,0,0,0,0
1741809514066_75_35,0.3125,1,0,0,0,0
1741809515130_65_35,0.1875,1,0,0,0,0
1741809516166_55_35,0.0625,1,0,0,0,0
1741809517234_50_35,0.0,1,0,0,0,0
1741809518298_65_35,0.1875,1,0,0,0,0
1741809519366_65_35,0.1875,1,0,0,0,0
1741809520403_60_35,0.125,1,0,0,0,0
1741809521502_75_35,0.3125,1,0,0,0,0
1741809522570_80_35,0.375,1,0,0,0,0
1741809523635_80_35,0.375,1,0,0,0,0
1741809524703_80_35,0.375,1,0,0,0,0
1741809525771_85_35,0.4375,1,0,0,0,0
1741809526840_95_35,0.5625,1,0,0,0,0
1741809527910_95_35,0.5625,1,0,0,0,0
1741809528971_90_35,0.5,1,0,0,0,0
1741809530039_95_35,0.5625,1,0,0,0,0
1741809531076_100_35,0.625,1,0,0,0,0
1741809532140_105_35,0.6875,1,0,0,0,0
1741809533208_110_35,0.75,1,0,0,0,0
1741809534244_110_35,0.75,1,0,0,0,0
1741809535309_110_35,0.75,1,0,0,0,0
1741809536376_105_35,0.6875,1,0,0,0,0
1741809537413_110_35,0.75,1,0,0,0,0
1741809538477_105_35,0.6875,1,0,0,0,0
1741809539545_110_35,0.75,1,0,0,0,0
1741809540613_110_35,0.75,1,0,0,0,0
1741809541681_115_35,0.8125,1,0,0,0,0
1741809542749_105_35,0.6875,1,0,0,0,0
1741809543813_110_35,0.75,1,0,0,0,0
1741809544882_110_35,0.75,1,0,0,0,0
1741809545950_105_35,0.6875,1,0,0,0,0
1741809547018_100_35,0.625,1,0,0,0,0
1741809548086_110_35,0.75,1,0,0,0,0
1741809549150_110_35,0.75,1,0,0,0,0
1741809550219_95_35,0.5625,1,0,0,0,0
1741809551287_95_35,0.5625,1,0,0,0,0
1741809552355_95_35,0.5625,1,0,0,0,0
1741809553392_85_35,0.4375,1,0,0,0,0
1741809554455_90_35,0.5,1,0,0,0,0
1741809555523_90_35,0.5,1,0,0,0,0
1741809556591_90_35,0.5,1,0,0,0,0
1741809557656_85_35,0.4375,1,0,0,0,0
1741809558723_75_35,0.3125,1,0,0,0,0
1741809559792_60_35,0.125,1,0,0,0,0
1741809560860_70_35,0.25,1,0,0,0,0
1741809561928_65_35,0.1875,1,0,0,0,0
1741809562992_65_35,0.1875,1,0,0,0,0
1741809564060_65_35,0.1875,1,0,0,0,0
1741809565129_65_35,0.1875,1,0,0,0,0
1741809566196_70_35,0.25,1,0,0,0,0
1741809567261_60_35,0.125,1,0,0,0,0
1741809568331_70_35,0.25,1,0,0,0,0
1741809569397_65_35,0.1875,1,0,0,0,0
1741809570465_60_35,0.125,1,0,0,0,0
1741809571533_60_35,0.125,1,0,0,0,0
1741809572597_60_35,0.125,1,0,0,0,0
1741809573665_80_35,0.375,1,0,0,0,0
1741809574734_85_35,0.4375,1,0,0,0,0
1741809575805_85_35,0.4375,1,0,0,0,0
1741809576870_90_35,0.5,1,0,0,0,0
1741809577934_95_35,0.5625,1,0,0,0,0
1741809579002_95_35,0.5625,1,0,0,0,0
1741809888552_85_35,0.4375,1,0,0,0,0
1741809889623_85_35,0.4375,1,0,0,0,0
1741809890690_100_35,0.625,1,0,0,0,0
1741809891756_85_35,0.4375,1,0,0,0,0
1741809892790_95_35,0.5625,1,0,0,0,0
1741809893857_95_35,0.5625,1,0,0,0,0
1741809894925_105_35,0.6875,1,0,0,0,0
1741809895957_110_35,0.75,1,0,0,0,0
1741809897025_105_35,0.6875,1,0,0,0,0
1741809898093_100_35,0.625,1,0,0,0,0
1741809899161_110_35,0.75,1,0,0,0,0
1741809900201_110_35,0.75,1,0,0,0,0
1741809901261_100_35,0.625,1,0,0,0,0
1741809902294_110_35,0.75,1,0,0,0,0
1741809903330_110_35,0.75,1,0,0,0,0
