image_id,angle,speed,red_light,obj_ahead,left_arrow,right_arrow
1741811103166_90_0,0.5,1,0,0,0,0
1741811104202_90_0,0.5,1,0,0,0,0
1741811105270_90_0,0.5,1,0,0,0,0
1741811106303_90_0,0.5,1,0,0,0,0
1741811107343_90_0,0.5,1,0,0,0,0
1741811108407_90_0,0.5,1,0,0,0,0
1741811109471_90_0,0.5,1,0,0,0,0
1741811110503_90_0,0.5,1,0,0,0,0
1741811111540_90_0,0.5,1,0,0,0,0
1741811112607_90_0,0.5,1,0,0,0,0
1741811113676_90_0,0.5,1,0,0,0,0
1741811114740_90_0,0.5,1,0,0,0,0
1741811115776_90_0,0.5,1,0,0,0,0
1741811116844_90_0,0.5,1,0,0,0,0
1741811117908_90_0,0.5,1,0,0,0,0
1741811118944_90_0,0.5,1,0,0,0,0
1741811120012_90_0,0.5,1,0,0,0,0
1741811121045_90_0,0.5,1,0,0,0,0
1741811125249_90_0,0.5,1,0,0,0,0
1741811130518_90_0,0.5,1,0,0,0,0
1741811131587_90_0,0.5,1,0,0,0,0
1741811132618_90_0,0.5,1,0,0,0,0
1741811133654_90_0,0.5,1,0,0,0,0
1741811134718_90_0,0.5,1,0,0,0,0
1741811135754_90_0,0.5,1,0,0,0,0
1741811257495_90_0,0.5,1,0,0,0,0
1741811258527_90_0,0.5,1,0,0,0,0
1741811259563_90_0,0.5,1,0,0,0,0
1741811260595_90_0,0.5,1,0,0,0,0
1741811261632_90_0,0.5,1,0,0,0,0
1741811262669_90_0,0.5,1,0,0,0,0
1741811263732_90_0,0.5,1,0,0,0,0
1741811264764_90_0,0.5,1,0,0,0,0
1741811265800_90_0,0.5,1,0,0,0,0
1741811266868_90_0,0.5,1,0,0,0,0
1741811267900_90_0,0.5,1,0,0,0,0
1741811268933_90_0,0.5,1,0,0,0,0
1741811270011_90_0,0.5,1,0,0,0,0
1741811271069_90_0,0.5,1,0,0,0,0
1741811272101_90_0,0.5,1,0,0,0,0
1741811273137_90_0,0.5,1,0,0,0,0
1741811274205_90_0,0.5,1,0,0,0,0
1741811275237_90_0,0.5,1,0,0,0,0
1741811276274_90_0,0.5,1,0,0,0,0
1741811277306_90_0,0.5,1,0,0,0,0
1741811278374_90_0,0.5,1,0,0,0,0
1741811279408_90_0,0.5,1,0,0,0,0
1741811280442_90_0,0.5,1,0,0,0,0
1741811281510_90_0,0.5,1,0,0,0,0
1741811282574_90_0,0.5,1,0,0,0,0
1741811283611_90_0,0.5,1,0,0,0,0
1741811284679_90_0,0.5,1,0,0,0,0
1741811285743_90_0,0.5,1,0,0,0,0
1741811286779_90_0,0.5,1,0,0,0,0
1741811287847_90_0,0.5,1,0,0,0,0
1741811288911_90_0,0.5,1,0,0,0,0
1741811289947_90_0,0.5,1,0,0,0,0
1741811291028_90_0,0.5,1,0,0,0,0
1741811292083_90_0,0.5,1,0,0,0,0
1741811293148_90_0,0.5,1,0,0,0,0
1741811294184_90_0,0.5,1,0,0,0,0
1741811295252_90_0,0.5,1,0,0,0,0
1741811296317_90_0,0.5,1,0,0,0,0
1741811297353_90_0,0.5,1,0,0,0,0
1741811298388_90_0,0.5,1,0,0,0,0
1741811299453_90_0,0.5,1,0,0,0,0
1741811300521_90_0,0.5,1,0,0,0,0
1741811301589_90_0,0.5,1,0,0,0,0
1741811302653_90_0,0.5,1,0,0,0,0
1741811303721_90_0,0.5,1,0,0,0,0
1741811304757_90_0,0.5,1,0,0,0,0
1741811305789_90_0,0.5,1,0,0,0,0
1741811306826_90_0,0.5,1,0,0,0,0
1741811307890_90_0,0.5,1,0,0,0,0
1741811308926_90_0,0.5,1,0,0,0,0
1741811309995_90_0,0.5,1,0,0,0,0
1741811311058_90_0,0.5,1,0,0,0,0
1741811312094_90_0,0.5,1,0,0,0,0
1741811313127_90_0,0.5,1,0,0,0,0
1741811314209_90_0,0.5,1,0,0,0,0
1741811315263_90_0,0.5,1,0,0,0,0
1741811316331_90_0,0.5,1,0,0,0,0
1741811317395_90_0,0.5,1,0,0,0,0
1741811318431_90_0,0.5,1,0,0,0,0
1741811319501_90_0,0.5,1,0,0,0,0
1741811320567_90_0,0.5,1,0,0,0,0
1741811321644_90_0,0.5,1,0,0,0,0
1741811322700_90_0,0.5,1,0,0,0,0
1741811323736_90_0,0.5,1,0,0,0,0
