image_id,angle,speed,red_light,obj_ahead,left_arrow,right_arrow
1742314852786_90_0,0.5,0,0,1,0,0
1742314853217_90_0,0.5,0,0,1,0,0
1742314853654_90_0,0.5,0,0,1,0,0
1742314854053_90_0,0.5,0,0,1,0,0
1742314854454_90_0,0.5,0,0,1,0,0
1742314854885_90_0,0.5,0,0,1,0,0
1742314855321_90_0,0.5,0,0,1,0,0
1742314855722_90_0,0.5,0,0,1,0,0
1742314856125_90_0,0.5,0,0,1,0,0
1742314856522_90_0,0.5,0,0,1,0,0
1742314856922_90_0,0.5,0,0,1,0,0
1742314857322_90_0,0.5,0,0,1,0,0
1742314857723_90_0,0.5,0,0,1,0,0
1742314858122_90_0,0.5,0,0,1,0,0
1742314858524_90_0,0.5,0,0,1,0,0
1742314858922_90_0,0.5,0,0,1,0,0
1742314863036_90_0,0.5,0,0,1,0,0
1742314863468_90_0,0.5,0,0,1,0,0
1742314863899_90_0,0.5,0,0,1,0,0
1742314864359_90_0,0.5,0,0,1,0,0
1742314864760_90_0,0.5,0,0,1,0,0
1742314865159_90_0,0.5,0,0,1,0,0
1742314865559_90_0,0.5,0,0,1,0,0
1742314865959_90_0,0.5,0,0,1,0,0
1742314866359_90_0,0.5,0,0,1,0,0
1742314866759_90_0,0.5,0,0,1,0,0
1742314867160_90_0,0.5,0,0,1,0,0
1742314867562_90_0,0.5,0,0,1,0,0
1742314867963_90_0,0.5,0,0,1,0,0
1742314868363_90_0,0.5,0,0,1,0,0
1742314868795_90_0,0.5,0,0,1,0,0
1742314869195_90_0,0.5,0,0,1,0,0
1742314869596_90_0,0.5,0,0,1,0,0
1742314869996_90_0,0.5,0,0,1,0,0
1742314870396_90_0,0.5,0,0,1,0,0
1742314870796_90_0,0.5,0,0,1,0,0
1742314871196_90_0,0.5,0,0,1,0,0
1742314871596_90_0,0.5,0,0,1,0,0
1742314871996_90_0,0.5,0,0,1,0,0
1742314872432_90_0,0.5,0,0,1,0,0
1742314881911_90_0,0.5,0,0,1,0,0
1742314882358_90_0,0.5,0,0,1,0,0
