image_id,angle,speed,red_light,obj_ahead,left_arrow,right_arrow
1742993987768_105_0,0.6875,0,1,0,0,0
1742993988032_105_0,0.6875,0,1,0,0,0
1742993988255_105_0,0.6875,0,1,0,0,0
1742993988454_105_0,0.6875,0,1,0,0,0
1742993988654_105_0,0.6875,0,1,0,0,0
1742993988854_105_0,0.6875,0,1,0,0,0
1742993989054_105_0,0.6875,0,1,0,0,0
1742993989255_105_0,0.6875,0,1,0,0,0
1742993989491_105_0,0.6875,0,1,0,0,0
1742993989691_105_0,0.6875,0,1,0,0,0
1742993989891_105_0,0.6875,0,1,0,0,0
1742993990091_105_0,0.6875,0,1,0,0,0
1742993990292_105_0,0.6875,0,1,0,0,0
1742993990491_105_0,0.6875,0,1,0,0,0
1742993990691_105_0,0.6875,0,1,0,0,0
1742993990898_105_0,0.6875,0,1,0,0,0
1742993991124_105_0,0.6875,0,1,0,0,0
1742993991323_105_0,0.6875,0,1,0,0,0
1742993991523_105_0,0.6875,0,1,0,0,0
1742993991723_105_0,0.6875,0,1,0,0,0
1742993992123_105_0,0.6875,0,1,0,0,0
1742993992324_105_0,0.6875,0,1,0,0,0
1742993992525_105_0,0.6875,0,1,0,0,0
1742993992723_105_0,0.6875,0,1,0,0,0
1742993992933_105_0,0.6875,0,1,0,0,0
1742993993123_105_0,0.6875,0,1,0,0,0
1742993993325_105_0,0.6875,0,1,0,0,0
1742993993523_105_0,0.6875,0,1,0,0,0
1742993993723_105_0,0.6875,0,1,0,0,0
1742993993928_105_0,0.6875,0,1,0,0,0
1742993994130_105_0,0.6875,0,1,0,0,0
1742993994327_105_0,0.6875,0,1,0,0,0
1742993994527_105_0,0.6875,0,1,0,0,0
1742993994927_105_0,0.6875,0,1,0,0,0
1742993995159_105_0,0.6875,0,1,0,0,0
1742993995363_105_0,0.6875,0,1,0,0,0
1742993995592_105_0,0.6875,0,1,0,0,0
1742993995792_105_0,0.6875,0,1,0,0,0
1742993995991_105_0,0.6875,0,1,0,0,0
1742993996191_105_0,0.6875,0,1,0,0,0
1742993996392_105_0,0.6875,0,1,0,0,0
1742993996592_105_0,0.6875,0,1,0,0,0
1742993996807_105_0,0.6875,0,1,0,0,0
1742993997028_105_0,0.6875,0,1,0,0,0
1742993997228_105_0,0.6875,0,1,0,0,0
1742993997460_105_0,0.6875,0,1,0,0,0
1742993997659_105_0,0.6875,0,1,0,0,0
1742993997859_105_0,0.6875,0,1,0,0,0
1742993998096_105_0,0.6875,0,1,0,0,0
1742993998296_105_0,0.6875,0,1,0,0,0
1742993998528_105_0,0.6875,0,1,0,0,0
1742993998729_105_0,0.6875,0,1,0,0,0
1742993998928_105_0,0.6875,0,1,0,0,0
1742993999128_105_0,0.6875,0,1,0,0,0
1742993999328_105_0,0.6875,0,1,0,0,0
1742993999564_105_0,0.6875,0,1,0,0,0
1742993999965_105_0,0.6875,0,1,0,0,0
1742994003571_105_0,0.6875,0,1,0,0,0
1742994003807_105_0,0.6875,0,1,0,0,0
1742994004096_105_0,0.6875,0,1,0,0,0
1742994004296_105_0,0.6875,0,1,0,0,0
1742994004533_105_0,0.6875,0,1,0,0,0
1742994004764_105_0,0.6875,0,1,0,0,0
1742994004964_105_0,0.6875,0,1,0,0,0
1742994005164_105_0,0.6875,0,1,0,0,0
1742994005364_105_0,0.6875,0,1,0,0,0
1742994005564_105_0,0.6875,0,1,0,0,0
1742994005800_105_0,0.6875,0,1,0,0,0
1742994006001_105_0,0.6875,0,1,0,0,0
1742994006202_105_0,0.6875,0,1,0,0,0
1742994006436_105_0,0.6875,0,1,0,0,0
1742994006632_105_0,0.6875,0,1,0,0,0
1742994006832_105_0,0.6875,0,1,0,0,0
1742994007033_105_0,0.6875,0,1,0,0,0
1742994007232_105_0,0.6875,0,1,0,0,0
1742994007432_105_0,0.6875,0,1,0,0,0
1742994007633_105_0,0.6875,0,1,0,0,0
1742994007833_105_0,0.6875,0,1,0,0,0
1742994008069_105_0,0.6875,0,1,0,0,0
1742994008269_105_0,0.6875,0,1,0,0,0
1742994008469_105_0,0.6875,0,1,0,0,0
1742994008669_105_0,0.6875,0,1,0,0,0
1742994008869_105_0,0.6875,0,1,0,0,0
1742994009069_105_0,0.6875,0,1,0,0,0
1742994009278_105_0,0.6875,0,1,0,0,0
1742994009502_105_0,0.6875,0,1,0,0,0
1742994009733_105_0,0.6875,0,1,0,0,0
1742994009933_105_0,0.6875,0,1,0,0,0
1742994010133_105_0,0.6875,0,1,0,0,0
1742994010333_105_0,0.6875,0,1,0,0,0
1742994010569_105_0,0.6875,0,1,0,0,0
