image_id,angle,speed,red_light,obj_ahead,left_arrow,right_arrow
1741708985905_90_35,0.5,1,0,0,0,0
1741708986973_85_35,0.4375,1,0,0,0,0
1741708988016_90_35,0.5,1,0,0,0,0
1741708989070_95_35,0.5625,1,0,0,0,0
1741708990103_90_35,0.5,1,0,0,0,0
1741708991139_90_35,0.5,1,0,0,0,0
1741708992207_90_35,0.5,1,0,0,0,0
1741708993271_80_35,0.375,1,0,0,0,0
1741708994309_80_35,0.375,1,0,0,0,0
1741708995377_55_35,0.0625,1,0,0,0,0
1741708996440_70_35,0.25,1,0,0,0,0
1741708997476_70_35,0.25,1,0,0,0,0
1741708998509_55_35,0.0625,1,0,0,0,0
1741708999576_75_35,0.3125,1,0,0,0,0
1741709000608_60_35,0.125,1,0,0,0,0
1741709001645_65_35,0.1875,1,0,0,0,0
1741709002713_80_35,0.375,1,0,0,0,0
1741709003745_85_35,0.4375,1,0,0,0,0
1741709004781_90_35,0.5,1,0,0,0,0
1741709005847_90_35,0.5,1,0,0,0,0
1741709006881_90_35,0.5,1,0,0,0,0
1741709007914_90_35,0.5,1,0,0,0,0
1741709008984_95_35,0.5625,1,0,0,0,0
1741709010050_85_35,0.4375,1,0,0,0,0
1741709011082_90_35,0.5,1,0,0,0,0
1741709012127_90_35,0.5,1,0,0,0,0
1741709013187_65_35,0.1875,1,0,0,0,0
1741709014250_65_35,0.1875,1,0,0,0,0
1741709015287_65_35,0.1875,1,0,0,0,0
1741709016355_65_35,0.1875,1,0,0,0,0
1741709017419_70_35,0.25,1,0,0,0,0
1741709018455_55_35,0.0625,1,0,0,0,0
1741709019523_65_35,0.1875,1,0,0,0,0
1741709020591_60_35,0.125,1,0,0,0,0
1741709021655_65_35,0.1875,1,0,0,0,0
1741709022696_85_35,0.4375,1,0,0,0,0
1741709023760_95_35,0.5625,1,0,0,0,0
1741709024824_85_35,0.4375,1,0,0,0,0
1741709025860_85_35,0.4375,1,0,0,0,0
1741709026928_90_35,0.5,1,0,0,0,0
1741709027992_90_35,0.5,1,0,0,0,0
1741709029028_90_35,0.5,1,0,0,0,0
1741709030109_90_35,0.5,1,0,0,0,0
1741709031161_85_35,0.4375,1,0,0,0,0
1741709032197_75_35,0.3125,1,0,0,0,0
1741709033230_70_35,0.25,1,0,0,0,0
1741709034312_65_35,0.1875,1,0,0,0,0
1741709035365_55_35,0.0625,1,0,0,0,0
1741709036436_65_35,0.1875,1,0,0,0,0
1741709037498_60_35,0.125,1,0,0,0,0
1741709038566_65_35,0.1875,1,0,0,0,0
1741709039602_70_35,0.25,1,0,0,0,0
1741709040635_60_35,0.125,1,0,0,0,0
1741709041702_80_35,0.375,1,0,0,0,0
1741709042770_90_35,0.5,1,0,0,0,0
1741709043802_90_35,0.5,1,0,0,0,0
1741709044839_90_35,0.5,1,0,0,0,0
1741709045903_90_35,0.5,1,0,0,0,0
1741709046939_80_35,0.375,1,0,0,0,0
1741709048007_90_35,0.5,1,0,0,0,0
1741709049075_95_35,0.5625,1,0,0,0,0
1741709050139_85_35,0.4375,1,0,0,0,0
1741709051176_85_35,0.4375,1,0,0,0,0
1741709052208_75_35,0.3125,1,0,0,0,0
1741709053276_65_35,0.1875,1,0,0,0,0
1741709054344_60_35,0.125,1,0,0,0,0
1741709055412_70_35,0.25,1,0,0,0,0
1741709056476_60_35,0.125,1,0,0,0,0
1741709057512_60_35,0.125,1,0,0,0,0
1741709058580_60_35,0.125,1,0,0,0,0
1741709059616_70_35,0.25,1,0,0,0,0
1741709060681_80_35,0.375,1,0,0,0,0
