image_id,angle,speed,red_light,obj_ahead,left_arrow,right_arrow
1741709997071_90_0,0.5,0,0,1,0,0
1741709998134_90_0,0.5,0,0,1,0,0
1741709999167_90_0,0.5,0,0,1,0,0
1741710000234_90_0,0.5,0,0,1,0,0
1741710001270_90_0,0.5,0,0,1,0,0
1741710002303_90_0,0.5,0,0,1,0,0
1741710003371_90_0,0.5,0,0,1,0,0
1741710004403_90_0,0.5,0,0,1,0,0
1741710005439_90_0,0.5,0,0,1,0,0
1741710006479_90_0,0.5,0,0,1,0,0
1741710007539_90_0,0.5,0,0,1,0,0
1741710008571_90_0,0.5,0,0,1,0,0
1741710009608_90_0,0.5,0,0,1,0,0
1741710010676_90_0,0.5,0,0,1,0,0
1741710011708_90_0,0.5,0,0,1,0,0
1741710012744_90_0,0.5,0,0,1,0,0
1741710013808_90_0,0.5,0,0,1,0,0
1741710014844_90_0,0.5,0,0,1,0,0
1741710015876_90_0,0.5,0,0,1,0,0
1741710016913_90_0,0.5,0,0,1,0,0
1741710017981_90_0,0.5,0,0,1,0,0
1741710019045_90_0,0.5,0,0,1,0,0
1741710020081_90_0,0.5,0,0,1,0,0
1741710046868_105_0,0.6875,0,0,1,0,0
1741710048329_105_0,0.6875,0,0,1,0,0
1741710049365_105_0,0.6875,0,0,1,0,0
1741710050433_105_0,0.6875,0,0,1,0,0
1741710051501_105_0,0.6875,0,0,1,0,0
1741710052533_105_0,0.6875,0,0,1,0,0
1741710055702_105_0,0.6875,0,0,1,0,0
1741710056770_105_0,0.6875,0,0,1,0,0
1741710057838_105_0,0.6875,0,0,1,0,0
1741710058871_105_0,0.6875,0,0,1,0,0
1741710059907_105_0,0.6875,0,0,1,0,0
1741710060970_105_0,0.6875,0,0,1,0,0
1741710062038_105_0,0.6875,0,0,1,0,0
1741710063075_105_0,0.6875,0,0,1,0,0
1741710064107_105_0,0.6875,0,0,1,0,0
1741710065175_105_0,0.6875,0,0,1,0,0
1741710066243_105_0,0.6875,0,0,1,0,0
1741710067276_105_0,0.6875,0,0,1,0,0
1741710068320_105_0,0.6875,0,0,1,0,0
1741710069375_105_0,0.6875,0,0,1,0,0
1741710070412_105_0,0.6875,0,0,1,0,0
1741710071480_105_0,0.6875,0,0,1,0,0
1741710072544_105_0,0.6875,0,0,1,0,0
1741710073580_105_0,0.6875,0,0,1,0,0
1741710074648_105_0,0.6875,0,0,1,0,0
1741710075712_105_0,0.6875,0,0,1,0,0
1741710108200_75_0,0.3125,0,0,1,0,0
1741710109301_75_0,0.3125,0,0,1,0,0
1741710110369_75_0,0.3125,0,0,1,0,0
1741710114570_75_0,0.3125,0,0,1,0,0
1741710115605_75_0,0.3125,0,0,1,0,0
1741710116638_75_0,0.3125,0,0,1,0,0
1741710117712_75_0,0.3125,0,0,1,0,0
1741710118774_75_0,0.3125,0,0,1,0,0
1741710119842_75_0,0.3125,0,0,1,0,0
1741710120907_75_0,0.3125,0,0,1,0,0
1741710123010_75_0,0.3125,0,0,1,0,0
1741710124075_75_0,0.3125,0,0,1,0,0
1741710125118_75_0,0.3125,0,0,1,0,0
1741710126179_75_0,0.3125,0,0,1,0,0
1741710127243_75_0,0.3125,0,0,1,0,0
1741710140007_90_0,0.5,0,0,1,0,0
1741710141085_90_0,0.5,0,0,1,0,0
1741710142122_90_0,0.5,0,0,1,0,0
1741710143190_90_0,0.5,0,0,1,0,0
1741710144253_90_0,0.5,0,0,1,0,0
1741710145289_90_0,0.5,0,0,1,0,0
1741710146358_90_0,0.5,0,0,1,0,0
1741710147422_90_0,0.5,0,0,1,0,0
1741710148490_90_0,0.5,0,0,1,0,0
1741710149558_90_0,0.5,0,0,1,0,0
1741710150626_90_0,0.5,0,0,1,0,0
1741710151694_90_0,0.5,0,0,1,0,0
1741710152758_90_0,0.5,0,0,1,0,0
